"filename", "language", "JavaScript", "SQL", "HTML", "Markdown", "JSON with Comments", "JSON", "CSS", "XML", "YAML", "comment", "blank", "total"
"c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\temp\dump\a2DBDisz\contests.metadata.json", "JSON", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\temp\dump\a2DBDisz\contestsOverview.metadata.json", "JSON", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\temp\dump\a2DBDisz\disciplines.metadata.json", "JSON", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\temp\dump\a2DBDisz\eventGroups.metadata.json", "JSON", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\temp\dump\a2DBDisz\events.metadata.json", "JSON", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\temp\dump\a2DBDisz\inscriptions.metadata.json", "JSON", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\temp\dump\a2DBDisz\meeting.metadata.json", "JSON", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\temp\dump\a2DBDisz\regions.metadata.json", "JSON", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\temp\dump\a2DBDisz\sideChannel.metadata.json", "JSON", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\temp\dump\a2DBDisz\starts.metadata.json", "JSON", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\temp\dump\a2DBDisz\startsInGroups.metadata.json", "JSON", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\temp\dump\admin\manualleCreatedCollection.metadata.json", "JSON", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\temp\dump\admin\system.version.metadata.json", "JSON", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\temp\dump\administration\athletes%40DBDisz.metadata.json", "JSON", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\temp\dump\administration\athletes%40oijoij.metadata.json", "JSON", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\temp\dump\administration\categories%40DBDisz.metadata.json", "JSON", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\temp\dump\administration\categories%40oijoij.metadata.json", "JSON", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\temp\dump\administration\clubs%40DBDisz.metadata.json", "JSON", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\temp\dump\administration\clubs%40oijoij.metadata.json", "JSON", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\temp\dump\administration\contests%2F3%40DBDisz.metadata.json", "JSON", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\temp\dump\administration\contests%40DBDisz.metadata.json", "JSON", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
